"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",3438,
"NLD","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",2590,
"NLD","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",2630,
"NLD","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",2647,
"NLD","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",325,
"NLD","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",323,
"NLD","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",340,
"NLD","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",1961,
"NLD","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",1971,
"NLD","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",2000,
"NZL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",8064,
"NZL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",8109,
"NZL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",7974,
"NZL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",1851,
"NZL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",1818,
"NZL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",1881,
"NZL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",1284,
"NZL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",1317,
"NZL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",1281,
"NZL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",135,
"NZL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",159,
"NZL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",147,
"NZL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",645,
"NZL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",651,
"NZL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",678,
"NOR","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",13982,
"NOR","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",13827,
"NOR","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",13512,"B"
"NOR","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",1340,
"NOR","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",1334,
"NOR","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",1188,"B"
"NOR","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",1088,
"NOR","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",1101,
"NOR","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",977,"B"
"NOR","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",114,
"NOR","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",115,
"NOR","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",123,"B"
"NOR","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",619,
"NOR","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",624,
"NOR","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",600,"B"
"POL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",172907,
"POL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",176418,
"POL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",203931,"B"
"POL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",7789,
"POL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",6975,
"POL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",12173,"B"
"POL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",7394,
"POL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",7310,
"POL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",9474,"B"
"POL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",1637,
"POL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",1694,
"POL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",1655,"B"
"POL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",6340,
"POL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",6360,
"POL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",6289,"B"
"PRT","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",54635,
"PRT","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",55100,
"PRT","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",55544,
"PRT","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",5650,
"PRT","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",5582,
"PRT","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",5679,
"PRT","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",4222,
"PRT","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",4310,
"PRT","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",4371,
"PRT","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",270,
"PRT","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",294,
"PRT","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",310,
"PRT","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",2176,
"PRT","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",2269,
"PRT","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",2310,
"SVK","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",64394,
"SVK","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",68437,
"SVK","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",74024,
"SVK","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",1453,
"SVK","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",1520,
"SVK","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",1306,
"SVK","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",1227,
"SVK","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",1236,
"SVK","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",1256,
"SVK","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",283,
"SVK","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",303,
"SVK","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",307,
"SVK","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",1056,
"SVK","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",1067,
"SVK","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",1061,
"ESP","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",137721,
"ESP","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",138965,
"ESP","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",142879,"B"
"ESP","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",13626,
"ESP","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",13685,
"ESP","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",13576,"B"
"ESP","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",10383,
"ESP","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",10538,
"ESP","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",10023,"B"
"ESP","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",802,
"ESP","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",847,
"ESP","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",924,"B"
"ESP","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",4452,
"ESP","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",4682,
"ESP","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",4591,"B"
"SWE","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",47549,
"SWE","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",47445,
"SWE","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",41629,"B"
"SWE","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",2662,
"SWE","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",2671,
"SWE","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",2424,"B"
"SWE","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",2042,
"SWE","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",1995,
"SWE","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",1715,"B"
"SWE","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",279,
"SWE","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",286,
"SWE","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",390,"B"
"SWE","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",1263,
"SWE","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",1277,
"SWE","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",1139,"B"
"CHE","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",10813,
"CHE","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",10643,
"CHE","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",10528,
"CHE","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",4262,
"CHE","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",4226,
"CHE","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",4120,
"CHE","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",3032,
"CHE","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",2981,
